"Q2_1","Q3_1","Q4_1","Q5_1","Q6_1","Q7_1","detact","age","education","gender","gender_7_TEXT","Q88","race","race_6_TEXT","politicalaffiliation","comments","Score","PROLIFIC_PID","att1","att2","att3","con1","con2","con3","attitude_score","attitude","Condition","video","belief_pre","belief_post","belief_change","attitude_direction","change_direction","change_in_opposite","video_direction","change_align_video","Video_choice","video_type"
100,90,95,-60,-95,-95,"Yes","54","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Extremely Liberal",NA,1,"5df97cf6deea2b70989b6528","100","90","95","-70","-100","-100",555,"Pro","none","anti",92.5,89.17,-3.33,1,-1,3.33,-1,3.33,1,"Anti_Fake_none"
100,100,100,-100,-100,-100,"No","24","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Conservative",NA,2,"682ba37c8c346bd9ec4d6946","100","-100","100","-100","-100","-100",400,"Pro","label","pro",66.67,100,33.33,1,1,-33.33,1,33.33,0,"Pro_Real"
100,100,100,-57,36,41,"No","55","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Conservative",NA,2,"5e404a68f09a9f28310e8701","70","100","70","-57","36","41",220,"Pro","none","pro",36.67,46.67,10,1,1,-10,1,10,0,"Pro_Real"
70,80,70,-20,-40,-40,"No","55","Associate degree in college (2-year)","Male",NA,"No","White",NA,"Moderate, Middle of Road",NA,2,"662d519487d5072ff4d677f4","50","50","50","10","-20","-20",180,"Pro","label","pro",30,53.33,23.33,1,1,-23.33,1,23.33,0,"Pro_Real"
97,-95,94,-93,-93,-89,"No","37","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Conservative",NA,3,"66abc406a7bec222fe13d6af","84","-80","74","-76","-80","-71",305,"Pro","none","pro",50.83,61.83,11,1,1,-11,1,11,0,"Pro_Real"
28,58,28,-49,-59,-34,"Yes","50","Bachelor's degree in college (4-year)","Female",NA,"No","American Indian or Alaska Native",NA,"Conservative",NA,2,"66cf382837abc9bf914b7f74","-24","-33","28","-49","-59","-34",113,"Pro","label","anti",18.83,42.67,23.84,1,1,-23.84,-1,-23.84,1,"Anti_Fake_label"
-45,23,10,-32,14,-17,"Yes","45","High school graduate (high school diploma or equivalent including GED)","Male",NA,"No","White",NA,"Slightly Conservative",NA,2,"667871d17d7fdf0358f82a28","-14","17","5","-26","8","-13",39,"Pro","none","anti",6.5,3.83,-2.67,1,-1,2.67,-1,2.67,1,"Anti_Fake_none"
90,100,70,-78,-84,-82,"Yes","56","Master's degree","Female",NA,"No","White",NA,"Moderate, Middle of Road","none at this time",2,"675252fa26f4a95f429f619e","90","100","70","-78","-84","-82",504,"Pro","label","pro",84,84,0,1,0,0,1,0,0,"Pro_Real"
100,100,100,-100,-100,-100,"Yes","39","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Conservative",NA,2,"682d498dd132607dcfa73c8c","100","100","100","-85","-69","-89",543,"Pro","none","pro",90.5,100,9.5,1,1,-9.5,1,9.5,0,"Pro_Real"
24,25,25,0,100,0,"Yes","45","Bachelor's degree in college (4-year)","Male",NA,"Yes","White",NA,"Moderate, Middle of Road",NA,2,"5fba9fdd33207faa35f61df3","24","25","25","0","100","0",-26,"Anti","none","pro",-4.33,-4.33,0,-1,0,0,1,0,1,"Pro_Fake_none"
-35,-69,-45,100,89,99,"No","53","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Slightly Conservative",NA,2,"6834cfee0b7d193d9c2091ac","100","62","62","86","76","75",-13,"Anti","label","anti",-2.17,-72.83,-70.66,-1,-1,-70.66,-1,70.66,0,"Anti_Real"
70,-100,50,85,75,91,"Yes","63","Master's degree","Female",NA,"No","White",NA,"Moderate, Middle of Road",NA,2,"6838d7e6ddbe50b87eda4896","100","80","70","1","50","50",149,"Pro","label","anti",24.83,-38.5,-63.33,1,-1,63.33,-1,63.33,1,"Anti_Fake_label"
15,61,23,-18,14,27,"No","22","Master's degree","Female",NA,"No","White",NA,"Liberal",NA,2,"683b5b1a56674ca7248af790","49","53","49","17","-37","22",149,"Pro","label","anti",24.83,12.67,-12.16,1,-1,12.16,-1,12.16,1,"Anti_Fake_label"
81,64,82,85,-64,-38,"No","35","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Conservative","great",2,"6844a124b0353f507dc5fbe2","100","-79","51","-43","57","-56",114,"Pro","none","pro",19,40.67,21.67,1,1,-21.67,1,21.67,0,"Pro_Real"
65,73,65,25,-55,-35,"Yes","21","Some college but no degree","Male",NA,"No","White",NA,"Slightly Liberal","Thank you for the opprtunity!",2,"66197802de4cb7fdfc39ff7a","65","73","65","25","-55","-35",268,"Pro","none","anti",44.67,44.67,0,1,0,0,-1,0,1,"Anti_Fake_none"
-5,-49,-36,48,72,-53,"No","28","Bachelor's degree in college (4-year)","Male",NA,"Yes","White",NA,"Slightly Conservative",NA,3,"683b37857fe367954c070ba5","65","-17","-36","48","72","-53",-55,"Anti","label","anti",-9.17,-26.17,-17,-1,-1,-17,-1,17,0,"Anti_Real"
69,58,54,-1,-34,-35,"No","22","High school graduate (high school diploma or equivalent including GED)","Female",NA,"No","White",NA,"Extremely Conservative",NA,1,"666c1c32c64e69d4964fff25","0","58","54","-1","-34","-35",182,"Pro","none","pro",30.33,41.83,11.5,1,1,-11.5,1,11.5,0,"Pro_Real"
100,100,100,100,70,80,"No","45","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Extremely Conservative",NA,2,"682b415e5ba5cb49fd42e046","100","100","100","100","70","80",50,"Pro","label","pro",8.33,8.33,0,1,0,0,1,0,0,"Pro_Real"
90,80,90,90,91,79,"No","32","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Liberal",NA,1,"682624bb25a1418cfdfa1990","70","70","70","75","60","65",10,"Pro","label","pro",1.67,0,-1.67,1,-1,1.67,1,-1.67,0,"Pro_Real"
100,100,79,83,83,86,"No","42","Master's degree","Male",NA,"No","White",NA,"Liberal",NA,2,"682cb107864d1a295ce49084","48","50","48","70","61","56",-41,"Anti","none","pro",-6.83,4.5,11.33,-1,1,11.33,1,11.33,1,"Pro_Fake_none"
30,31,20,0,0,-20,"Yes","59","Professional degree (JD, MD)","Female",NA,"No","Asian",NA,"Moderate, Middle of Road",NA,2,"675cf75e3c237ff931f4a43e","30","31","20","0","0","-20",101,"Pro","label","anti",16.83,16.83,0,1,0,0,-1,0,1,"Anti_Fake_label"
-43,-83,-73,75,61,77,"No","37","Master's degree","Male",NA,"Yes","White",NA,"Moderate, Middle of Road",NA,2,"6845f8e073c5f247c7694ce6","71","-83","-73","73","61","77",-296,"Anti","label","anti",-49.33,-68.67,-19.34,-1,-1,-19.34,-1,19.34,0,"Anti_Real"
9,41,7,34,79,62,"Yes","70","Associate degree in college (2-year)","Male",NA,"No","White",NA,"Conservative",NA,2,"5a0efb83ab721b0001ef8509","10","2","12","43","77","60",-156,"Anti","none","anti",-26,-19.67,6.33,-1,1,6.33,-1,-6.33,0,"Anti_Real"
100,100,65,20,50,80,"No","28","Master's degree","Male",NA,"No","White",NA,"Conservative",NA,3,"683fc6c7b557b6d4e6c0c827","100","100","65","25","50","80",110,"Pro","none","pro",18.33,19.17,0.840000000000003,1,1,-0.840000000000003,1,0.840000000000003,0,"Pro_Real"
100,100,70,-10,100,-48,"No","36","Master's degree","Male",NA,"No","White",NA,"Moderate, Middle of Road",NA,2,"683ce0bda41256bce1dde17a","100","100","71","-10","100","-48",229,"Pro","none","pro",38.17,38,-0.170000000000002,1,-1,0.170000000000002,1,-0.170000000000002,0,"Pro_Real"
100,100,100,-100,-100,-100,"No","68","Master's degree","Male",NA,"No","White",NA,"Conservative",NA,2,"6834e4f971be5a50b2df12e3","100","100","100","-100","-100","-100",600,"Pro","none","pro",100,100,0,1,0,0,1,0,0,"Pro_Real"
100,100,100,-100,-100,-100,"No","59","Associate degree in college (2-year)","Male",NA,"No","White",NA,"Liberal",NA,3,"67c0b00f366cea0441141661","100","100","80","-100","-100","-100",580,"Pro","label","pro",96.67,100,3.33,1,1,-3.33,1,3.33,0,"Pro_Real"
65,40,45,15,72,74,"Yes","30","Master's degree","Male",NA,"No","White",NA,"Moderate, Middle of Road",NA,3,"682e1ca04e08fcb0aac0e7f2","60","30","35","0","71","75",-21,"Anti","none","pro",-3.5,-1.83,1.67,-1,1,1.67,1,1.67,1,"Pro_Fake_none"
100,-23,100,-46,100,68,"No","43","Doctoral degree","Female",NA,"No","White",NA,"Extremely Conservative",NA,3,"6841d9ee1f3a4673e9b915e0","100","-23","100","-46","100","68",55,"Pro","label","pro",9.17,9.17,0,1,0,0,1,0,0,"Pro_Real"
100,100,100,100,100,-100,"Yes","36","Doctoral degree","Female",NA,"No","Black or African American",NA,"Moderate, Middle of Road",NA,2,"681e3c186ae98269b260780b","50","60","30","20","40","30",50,"Pro","label","pro",8.33,33.33,25,1,1,-25,1,25,0,"Pro_Real"
100,100,81,-67,-70,-100,"Yes","64","Master's degree","Female",NA,"No","White",NA,"Liberal",NA,2,"5eb087ed7f6d1e1232690d6a","100","100","81","-53","-57","-100",491,"Pro","none","anti",81.83,86.33,4.5,1,1,-4.5,-1,-4.5,1,"Anti_Fake_none"
100,100,100,-100,-100,-100,"Yes","57","Master's degree","Male",NA,"No","White",NA,"Conservative",NA,3,"682e3bf3e1da6acd8932f7da","100","100","100","-62","37","-39",364,"Pro","none","pro",60.67,100,39.33,1,1,-39.33,1,39.33,0,"Pro_Real"
84,71,81,-41,47,28,"Yes","59","Master's degree","Male",NA,"No","White",NA,"Liberal",NA,2,"683ca34ac3aee70858f5a075","82","65","79","-37","45","26",192,"Pro","label","anti",32,33.67,1.67,1,1,-1.67,-1,-1.67,1,"Anti_Fake_label"
50,52,25,-35,2,2,"No","55","Some college but no degree","Male",NA,"Yes","White",NA,"Moderate, Middle of Road",NA,3,"64057f3da9d6f08f1b96262d","21","52","25","-35","2","2",129,"Pro","label","pro",21.5,26.33,4.83,1,1,-4.83,1,4.83,0,"Pro_Real"
55,79,77,61,77,70,"Yes","48","Master's degree","Male",NA,"No","White",NA,"Conservative",NA,3,"65a3eab844b50c6810ea62f3","51","6","24","22","46","46",-33,"Anti","none","pro",-5.5,0.5,6,-1,1,6,1,6,1,"Pro_Fake_none"
70,41,34,38,29,28,"Yes","21","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Conservative","no comment",1,"682a066004d79a4c4319639c","64","41","34","38","29","28",44,"Pro","label","anti",7.33,8.33,1,1,1,-1,-1,-1,1,"Anti_Fake_label"
64,32,19,-30,8,10,"Yes","25","Bachelor's degree in college (4-year)","Male",NA,"No","Black or African American",NA,"Conservative",NA,2,"6838ebe785f866c529c5954b","-27","-34","-34","-22","43","55",-171,"Anti","none","pro",-28.5,21.17,49.67,-1,1,49.67,1,49.67,1,"Pro_Fake_none"
50,50,25,25,-24,25,"No","51","Bachelor's degree in college (4-year)","Female",NA,"Yes","Other:","Spanish, Hispanic, Latino","Moderate, Middle of Road",NA,3,"6608ae8f064fec1c0ba06814","50","50","25","25","-40","25",115,"Pro","none","pro",19.17,16.5,-2.67,1,-1,2.67,1,-2.67,0,"Pro_Real"
70,70,60,20,0,20,"Yes","56","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Conservative",NA,1,"676ca3da9773676ad989ef10","78","80","84","-29","30","-40",281,"Pro","label","anti",46.83,26.67,-20.16,1,-1,20.16,-1,20.16,1,"Anti_Fake_label"
69,56,39,40,47,44,"No","29","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Liberal",NA,3,"68479b714636d80fbaaac694","60","40","39","40","47","44",8,"Pro","none","pro",1.33,5.5,4.17,1,1,-4.17,1,4.17,0,"Pro_Real"
96,89,74,11,2,40,"No","65","Some college but no degree","Female",NA,"No","White",NA,"Slightly Liberal",NA,3,"6711729a71c35dc0418b2ef3","50","54","74","70","2","40",66,"Pro","none","pro",11,34.33,23.33,1,1,-23.33,1,23.33,0,"Pro_Real"
100,50,-14,67,50,100,"No","45","Bachelor's degree in college (4-year)","Female",NA,"No","Black or African American",NA,"Extremely Conservative",NA,2,"67e88a0303c1b7693d1a0c6f","100","100","29","25","-27","16",215,"Pro","none","anti",35.83,-13.5,-49.33,1,-1,49.33,-1,49.33,1,"Anti_Fake_none"
84,91,80,48,14,31,"No","38","Bachelor's degree in college (4-year)","Male",NA,"Yes","Other:","Latino","Conservative","This was a unique kind of research survey about AI algorithms within society and how people view their pros and cons about the topic.",2,"6294cced417fa0a733ba14a4","57","100","66","39","57","90",37,"Pro","none","pro",6.17,27,20.83,1,1,-20.83,1,20.83,0,"Pro_Real"
100,100,100,100,-14,35,"Yes","60","Bachelor's degree in college (4-year)","Female",NA,"No","Black or African American",NA,"Liberal",NA,3,"683798782103c0dd7218d498","100","100","100","100","-14","35",179,"Pro","none","pro",29.83,29.83,0,1,0,0,1,0,0,"Pro_Real"
69,47,70,36,11,50,"No","22","Master's degree","Female",NA,"No","White",NA,"Conservative",NA,1,"6842fc089475703b79260d0a","28","40","42","36","-16","22",68,"Pro","label","pro",11.33,14.83,3.5,1,1,-3.5,1,3.5,0,"Pro_Real"
81,98,91,94,95,47,"Yes","27","Bachelor's degree in college (4-year)","Male",NA,"No","Black or African American",NA,"Extremely Conservative",NA,2,"67ab55ea193e5567189bd543","80","-11","60","67","79","63",-80,"Anti","label","pro",-13.33,5.67,19,-1,1,19,1,19,1,"Pro_Fake_label"
70,40,-20,25,50,25,"Yes","30","Master's degree","Female",NA,"No","White",NA,"Liberal",NA,2,"684069d9298b2a2ab2d0209a","100","83","52","-32","-30","-23",320,"Pro","label","anti",53.33,-1.67,-55,1,-1,55,-1,55,1,"Anti_Fake_label"
60,70,75,-50,-50,-50,"No","67","High school graduate (high school diploma or equivalent including GED)","Female",NA,"No","White",NA,"Extremely Conservative",NA,3,"5c1021a547d07800011a23de","60","70","75","-40","-50","-50",345,"Pro","none","pro",57.5,59.17,1.67,1,1,-1.67,1,1.67,0,"Pro_Real"
84,85,92,-55,-57,-60,"No","28","Some college but no degree","Female",NA,"No","White",NA,"Slightly Liberal",NA,2,"650f205219d6a05c68fb181d","67","61","92","-40","-45","-52",357,"Pro","label","pro",59.5,72.17,12.67,1,1,-12.67,1,12.67,0,"Pro_Real"
-56,-55,-79,79,83,85,"No","63","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Moderate, Middle of Road",NA,2,"67858fffbdfd020464712859","-56","-55","-79","79","83","85",-437,"Anti","none","anti",-72.83,-72.83,0,-1,0,0,-1,0,0,"Anti_Real"
100,100,100,-100,-100,-100,"No","40","Bachelor's degree in college (4-year)","Male",NA,"No","Other:","Arab","Slightly Liberal",NA,1,"6400df45e639d203b8518cad","100","100","100","-100","-100","-100",600,"Pro","label","pro",100,100,0,1,0,0,1,0,0,"Pro_Real"
100,100,91,3,-65,1,"No","59","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Moderate, Middle of Road",NA,3,"682c9642c478211adfe25d2a","100","99","83","71","-72","0",283,"Pro","label","pro",47.17,58.67,11.5,1,1,-11.5,1,11.5,0,"Pro_Real"
90,100,85,25,-90,0,"No","41","Master's degree","Female",NA,"No","White",NA,"Moderate, Middle of Road",NA,2,"5bbd033261968f0001f02bac","90","100","85","50","-90","0",315,"Pro","label","pro",52.5,56.67,4.17,1,1,-4.17,1,4.17,0,"Pro_Real"
100,100,100,0,70,50,"Yes","21","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Extremely Conservative",NA,3,"677ae74330d6b6bc97867206","100","100","100","25","70","50",155,"Pro","label","pro",25.83,30,4.17,1,1,-4.17,1,4.17,0,"Pro_Real"
100,51,100,58,-78,-85,"No","34","Master's degree","Female",NA,"No","White",NA,"Extremely Conservative",NA,2,"68452a126c69560564e7a0bf","100","34","87","39","-57","-45",284,"Pro","label","pro",47.33,59.33,12,1,1,-12,1,12,0,"Pro_Real"
100,7,-7,10,6,-12,"No","37","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Moderate, Middle of Road",NA,3,"683b3d1da2005c89f78e550b","100","7","11","10","6","-12",114,"Pro","label","pro",19,16,-3,1,-1,3,1,-3,0,"Pro_Real"
97,84,80,-53,48,58,"No","44","Doctoral degree","Female",NA,"No","White",NA,"Conservative",NA,2,"682e4a107e47a4b126794cdb","97","84","80","-53","48","58",208,"Pro","label","pro",34.67,34.67,0,1,0,0,1,0,0,"Pro_Real"
75,63,57,-46,-58,-35,"No","55","Bachelor's degree in college (4-year)","Female",NA,"No","White",NA,"Slightly Liberal","N/A",2,"62349dcdec7c3f8e7e1bc90b","65","57","46","-46","-39","-35",288,"Pro","label","pro",48,55.67,7.67,1,1,-7.67,1,7.67,0,"Pro_Real"
94,-86,-90,44,30,-54,"Yes","33","Bachelor's degree in college (4-year)","Male",NA,"Yes","White",NA,"Conservative",NA,2,"683fdd344d27b85592cfee3a","30","30","-90","-20","-72","32",30,"Pro","none","pro",5,-17,-22,1,-1,22,1,-22,0,"Pro_Real"
45,49,64,2,21,2,"No","28","Master's degree","Male",NA,"No","White",NA,"Conservative",NA,2,"68422c4f0ff9f4dff0a876a9","35","47","62","0","24","2",118,"Pro","label","pro",19.67,22.17,2.5,1,1,-2.5,1,2.5,0,"Pro_Real"
-87,88,-93,88,75,94,"Yes","36","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Conservative","The study was informative.",2,"68378d1f90344a2204ceeb0b","-66","-68","-83","88","75","94",-474,"Anti","none","anti",-79,-58.17,20.83,-1,1,20.83,-1,-20.83,0,"Anti_Real"
74,68,49,-70,-18,-66,"Yes","34","High school graduate (high school diploma or equivalent including GED)","Female",NA,"Yes","White",NA,"Moderate, Middle of Road",NA,1,"5c55c45f53fba80001bcf323","15","38","23","-60","12","-29",153,"Pro","none","pro",25.5,57.5,32,1,1,-32,1,32,0,"Pro_Real"
73,70,-6,-32,3,-45,"Yes","50","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Slightly Liberal","n/a",2,"64d53aae0f3f7317f6eb617e","71","58","7","-18","20","-31",165,"Pro","label","pro",27.5,35.17,7.67,1,1,-7.67,1,7.67,0,"Pro_Real"
80,61,57,-23,7,13,"No","25","Bachelor's degree in college (4-year)","Male",NA,"No","White",NA,"Moderate, Middle of Road",NA,2,"68368edc98ad6363c6abf22c","80","61","57","-23","7","13",201,"Pro","none","pro",33.5,33.5,0,1,0,0,1,0,0,"Pro_Real"
73,73,60,-9,33,2,"Yes","65","Master's degree","Female",NA,"No","White",NA,"Slightly Liberal",NA,3,"682dd11f39ce4e00502afaf7","73","73","60","-9","33","2",180,"Pro","none","pro",30,30,0,1,0,0,1,0,0,"Pro_Real"
53,-38,40,-39,39,-3,"No","63","Master's degree","Female",NA,"No","White",NA,"Slightly Liberal",NA,2,"67ed8da72bcc7bc0cefc0122","46","52","-44","25","-32","32",29,"Pro","label","pro",4.83,9.67,4.84,1,1,-4.84,1,4.84,0,"Pro_Real"
