"att1_1","att2_1","att3_1","concern1_1","concern2_1","concern3_1","Q94_First.Click","Q94_Last.Click","Q94_Page.Submit","Q94_Click.Count","att1P_1","att2P_1","att3P_1","concern1P_1","concern2P_1","concern3P_1","persuasive","detact","age","education","Q88","race","race_6_TEXT","politicalaffiliation","comments","Score","PROLIFIC_PID","Condition","Label","Fake","belief_org","belief_final","belief_change","Bonus","Pro","Change_in_Direction","Male"
-80,0,-80,-80,-90,-75,"0","0","241.415","0",-80,0,-80,-80,-90,-75,3,1,71,"Associate degree in college (2-year)","No","Asian",NA,"Conservative",NA,2,"675758f40df8b09c8aa98ad0","Anti_label","1","1",-67.5,-67.5,0,0.2,"0",0,1
69,79,81,-2,-37,-46,"0","0","263.131","0",69,79,81,88,91,91,4,0,42,"Some college but no degree","No","Black or African American",NA,"Conservative",NA,3,"65cbd460af952464467dc365","Pro_org","0","0",24,83.1666666666667,59.1666666666667,0.3,"1",59.1666666666667,0
100,80,80,55,45,30,"0","0","284.428","0",30,70,49,40,18,30,2,0,62,"Bachelor's degree in college (4-year)","No","Asian",NA,"Extremely Liberal","Very interesting study!",1,"671d58f76b149a630fb02af4","Anti_org","0","0",65,39.5,-25.5,0.1,"0",25.5,1
100,100,100,-88,-92,-82,"0","0","305.434","0",-100,-100,-83,79,59,45,3,1,29,"Master's degree","No","White",NA,"Conservative",NA,3,"678bedf26ec5027cd6327f8c","Anti_none","0","1",6.33333333333333,-16.6666666666667,-23,0.3,"0",23,0
-27,-27,-20,27,-16,-16,"0","0","231.441","0",-27,-27,-20,27,-16,-16,1,1,40,"High school graduate (high school diploma or equivalent including GED)","No","Asian",NA,"Moderate, Middle of Road",NA,2,"59e980be6100f9000194a869","Anti_label","1","1",-13.1666666666667,-13.1666666666667,0,0.2,"0",0,1
90,97,92,35,-86,30,"0","0","233.173","0",90,97,92,29,-86,27,1,1,48,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Slightly Liberal",NA,2,"6681d290c7e44d04198ca9d9","Anti_label","1","1",43,41.5,-1.5,0.2,"0",1.5,1
5,5,10,15,-50,-30,"0","0","243.901","0",45,42,45,9,-86,-56,4,1,35,"Bachelor's degree in college (4-year)","No","White",NA,"Slightly Conservative",NA,3,"5ec599168c7fa65cabe8b5c7","Pro_label","1","1",-7.5,-0.166666666666667,7.33333333333333,0.3,"1",7.33333333333333,0
60,50,50,-70,-70,-81,"30.418","46.802","257.705","2",100,100,75,0,25,25,5,1,57,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Conservative",NA,3,"6748a93ccd81d94597c67a69","Pro_label","1","1",-10.1666666666667,54.1666666666667,64.3333333333333,0.3,"1",64.3333333333333,0
70,71,69,-5,8,73,"378.431","378.431","388.895","1",70,71,69,-5,8,73,3,0,20,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Moderate, Middle of Road",NA,2,"678cfcae5dc35d491d7935f7","Pro_org","0","0",47.6666666666667,47.6666666666667,0,0.2,"1",0,1
90,80,90,30,75,30,"0","0","238.036","0",100,80,90,40,80,30,2,1,29,"Bachelor's degree in college (4-year)","No","White",NA,"Slightly Conservative",NA,3,"600af77e5546650d0fa66b5e","Pro_none","0","1",65.8333333333333,70,4.16666666666667,0.3,"1",4.16666666666667,0
80,83,68,-4,-11,5,"0","0","253.459","0",80,83,68,-4,-11,5,1,1,44,"Bachelor's degree in college (4-year)","No","Asian",NA,"Moderate, Middle of Road",NA,2,"661b393a509a826460971b72","Pro_org","0","0",36.8333333333333,36.8333333333333,0,0.2,"1",0,1
100,100,100,-63,100,51,"262.931","262.931","264.875","1",100,100,80,45,85,77,5,0,37,"Associate degree in college (2-year)","Yes","White",NA,"Extremely Conservative",NA,1,"60aa30669b1bc58945396e74","Pro_org","0","0",64.6666666666667,81.1666666666667,16.5,0.1,"1",16.5,0
24,35,44,-29,-24,-25,"0","0","251.813","0",31,29,44,-29,-24,-25,4,1,28,"Master's degree","No","White",NA,"Slightly Conservative","No. Thank You.",0,"6034f019bf26dfcde618e658","Anti_none","0","1",4.16666666666667,4.33333333333333,0.166666666666666,0,"0",-0.166666666666666,0
100,50,50,-73,50,63,"246.949","247.616","248.648","2",-50,-52,-86,-91,-80,-85,5,1,40,"Master's degree","No","Black or African American",NA,"Conservative",NA,2,"67813d33c262f59e38b0d228","Anti_none","0","1",40,-74,-114,0.2,"0",114,1
37,75,-20,-57,59,-75,"0","0","281.747","0",7,50,37,7,0,-33,4,0,36,"Doctoral degree","No","Black or African American",NA,"Slightly Conservative","thank you",1,"676c0b3074a80766e2045d06","Anti_label","1","1",3.16666666666667,11.3333333333333,8.16666666666667,0.1,"0",-8.16666666666667,1
100,100,100,100,100,100,"0","0","237.793","0",100,100,100,100,100,100,1,1,40,"Some college but no degree","Yes","White,American Indian or Alaska Native",NA,"Slightly Liberal",NA,2,"65d915f57997c7856a14377f","Pro_none","0","1",100,100,0,0.2,"1",0,1
100,100,100,70,50,-60,"154.511","155.429","233.906","4",100,100,100,70,50,-60,5,1,35,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Extremely Liberal",NA,3,"678e38f7ac27218d82d7a48f","Pro_label","1","1",60,60,0,0.3,"1",0,1
68,88,34,-12,10,-11,"0","0","232.343","0",21,59,-11,-34,-11,-11,3,0,22,"Some college but no degree","No","White",NA,"Slightly Conservative",NA,2,"6787106fdc0d911187ca7ec7","Anti_none","0","1",29.5,2.16666666666667,-27.3333333333333,0.2,"0",27.3333333333333,0
73,36,50,76,59,59,"7.828","232.781","234.889","2",73,53,50,62,74,28,1,1,26,"Some college but no degree","No","White",NA,"Liberal",NA,1,"5ceccd292711fa001ac2a11c","Anti_label","1","1",58.8333333333333,56.6666666666667,-2.16666666666667,0.1,"0",2.16666666666667,0
54,50,59,80,97,96,"0","0","235.068","0",100,63,100,100,100,100,1,1,33,"Bachelor's degree in college (4-year)","No","White",NA,"Extremely Liberal",NA,2,"5eb6df62c23fbf5e87db6b4b","Anti_label","1","1",72.6666666666667,93.8333333333333,21.1666666666667,0.2,"0",-21.1666666666667,0
-100,43,100,18,100,41,"111.289","254.135","255.428","2",10,43,100,8,100,41,2,1,55,"High school graduate (high school diploma or equivalent including GED)","No","White",NA,"Moderate, Middle of Road","Thank You",3,"5e4804c0ea0f3c2ac22c64e3","Pro_label","1","1",33.6666666666667,50.3333333333333,16.6666666666667,0.3,"1",16.6666666666667,0
100,100,100,59,30,28,"0","0","243.776","0",100,100,85,59,41,35,2,0,59,"Bachelor's degree in college (4-year)","Yes","White",NA,"Slightly Liberal",NA,2,"673f944357ae127e26c9fd93","Pro_label","1","1",69.5,70,0.5,0.2,"1",0.5,1
34,58,-12,-46,-35,-64,"315.74","315.74","317.692","1",53,58,-12,-46,-35,-64,4,1,54,"Master's degree","No","Black or African American",NA,"Conservative",NA,2,"67855f355dcf149a190cf0ee","Pro_none","0","1",-10.8333333333333,-7.66666666666667,3.16666666666667,0.2,"1",3.16666666666667,0
59,30,20,21,12,-1,"233.807","233.807","236.821","1",40,25,8,-7,-4,-23,3,1,45,"Some college but no degree","No","White",NA,"Conservative",NA,2,"66edae77b3d80926f695ec42","Anti_label","1","1",23.5,6.5,-17,0.2,"0",17,0
87,51,31,30,-44,-31,"0","0","294.299","0",2,3,-53,-26,-78,-83,4,1,25,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Extremely Conservative",NA,2,"676571fe4485951a4c3e136e","Anti_none","0","1",20.6666666666667,-39.1666666666667,-59.8333333333333,0.2,"0",59.8333333333333,1
31,25,18,95,-4,83,"25.1","170.094","280.562","2",40,31,8,100,36,41,3,1,58,"High school graduate (high school diploma or equivalent including GED)","Yes","White",NA,"Conservative",NA,2,"5fefefa4c9707d3516361c9c","Anti_org","0","0",41.3333333333333,42.6666666666667,1.33333333333333,0.2,"0",-1.33333333333333,0
80,80,80,-30,-15,10,"0","0","239.425","0",80,85,78,-30,-15,10,2,1,26,"Bachelor's degree in college (4-year)","No","White",NA,"Liberal",NA,1,"5ecebd4c522514107a24b0ce","Pro_label","1","1",34.1666666666667,34.6666666666667,0.5,0.1,"1",0.5,0
55,47,27,-17,-47,39,"61.694","336.742","337.896","3",55,39,27,-17,-47,-22,3,1,22,"High school graduate (high school diploma or equivalent including GED)","No","Black or African American",NA,"Slightly Conservative",NA,3,"678bf80d3d0965c712651bf7","Pro_label","1","1",17.3333333333333,5.83333333333333,-11.5,0.3,"1",-11.5,1
60,50,45,50,0,30,"0","0","233.718","0",60,50,30,50,0,30,2,1,51,"Bachelor's degree in college (4-year)","No","Asian",NA,"Liberal",NA,2,"65c273252f46c0f1081a4d8d","Anti_none","0","1",39.1666666666667,36.6666666666667,-2.5,0.2,"0",2.5,0
85,25,30,-40,20,-30,"0","0","298.8","0",85,25,10,-65,-30,-60,3,1,52,"Bachelor's degree in college (4-year)","No","White",NA,"Slightly Conservative",NA,2,"626abc4c41d86b2ff153b070","Anti_org","0","0",15,-5.83333333333333,-20.8333333333333,0.2,"0",20.8333333333333,0
40,50,-25,-26,-50,-62,"0","0","241.596","0",52,67,-32,-26,-50,-62,3,1,23,"Bachelor's degree in college (4-year)","Yes","Other:","Latino","Extremely Liberal",NA,1,"5e0b87eb58a5c73bdc9aa47b","Anti_none","0","1",-12.1666666666667,-8.5,3.66666666666667,0.1,"0",-3.66666666666667,1
-70,-70,-50,-30,-70,-60,"0","0","237.616","0",-70,-70,-50,-30,-70,-60,1,1,23,"High school graduate (high school diploma or equivalent including GED)","No","White",NA,"Slightly Conservative",NA,1,"62fb84322433c8d7e890a145","Pro_none","0","1",-58.3333333333333,-58.3333333333333,0,0.1,"1",0,0
100,100,100,-100,-39,50,"0","0","249.787","0",100,100,100,-100,100,100,5,0,25,"Master's degree","No","Black or African American",NA,"Conservative","the research offers great insight on the potentials of Ai usage and importance of regulations .The research is very educative.",2,"678e324239e06762af570514","Pro_none","0","1",35.1666666666667,66.6666666666667,31.5,0.2,"1",31.5,0
89,80,82,-2,31,6,"282.791","282.791","284.02","1",60,71,49,-50,-21,-81,4,0,54,"Bachelor's degree in college (4-year)","No","White,Asian",NA,"Moderate, Middle of Road",NA,2,"5c6c2cdc7830480001525538","Anti_org","0","0",47.6666666666667,4.66666666666667,-43,0.2,"0",43,0
48,40,36,-32,29,19,"18.694","18.694","482.144","1",48,40,66,-83,-57,-55,4,0,24,"Bachelor's degree in college (4-year)","No","White",NA,"Conservative",NA,3,"678bb1a39c1d6fd1fa5582e4","Pro_org","0","0",23.3333333333333,-6.83333333333333,-30.1666666666667,0.3,"1",-30.1666666666667,1
40,67,68,-9,29,19,"228.143","228.143","249.835","1",41,57,37,26,35,-71,4,0,29,"Some college but no degree","No","White",NA,"Moderate, Middle of Road",NA,3,"667f0ac319fd96374a8c5c52","Pro_org","0","0",35.6666666666667,20.8333333333333,-14.8333333333333,0.3,"1",-14.8333333333333,0
30,50,25,15,30,50,"57.718","57.718","251.239","1",60,65,30,25,50,50,4,1,48,"Doctoral degree","No","White",NA,"Liberal",NA,2,"67227ecdfdfbe649d07885e3","Pro_org","0","0",33.3333333333333,46.6666666666667,13.3333333333333,0.2,"1",13.3333333333333,1
100,100,100,100,100,-46,"2.738","225.826","236.542","2",0,100,50,-14,0,-19,3,1,20,"High school graduate (high school diploma or equivalent including GED)","No","Asian",NA,"Moderate, Middle of Road",NA,2,"66952c67f557cc6b49a8d91f","Anti_label","1","1",75.6666666666667,19.5,-56.1666666666667,0.2,"0",56.1666666666667,0
60,40,3,-20,-40,-30,"0","0","249.084","0",70,30,20,-65,-91,-34,3,1,28,"Master's degree","No","Black or African American",NA,"Conservative",NA,1,"6784bac357bfeed6da15381b","Anti_label","1","1",2.16666666666667,-11.6666666666667,-13.8333333333333,0.1,"0",13.8333333333333,1
60,40,50,-50,14,32,"0","0","248.22","0",46,-82,-84,-76,-77,-67,4,1,20,"High school graduate (high school diploma or equivalent including GED)","No","Black or African American",NA,"Slightly Conservative",NA,2,"67673aaf0b272f81c65bb28b","Anti_none","0","1",24.3333333333333,-56.6666666666667,-81,0.2,"0",81,1
60,75,-35,50,-45,40,"0","0","305.423","0",60,75,-35,50,-45,40,4,0,60,"High school graduate (high school diploma or equivalent including GED)","No","Black or African American",NA,"Conservative",NA,2,"678e3fe766f302ec16b775ac","Anti_org","0","0",24.1666666666667,24.1666666666667,0,0.2,"0",0,0
100,70,83,-91,-86,66,"7.558","253.533","409.114","37",100,100,60,20,-86,66,4,0,48,"Master's degree","No","Black or African American",NA,"Slightly Liberal",NA,2,"6783c1e9ed157a89c56ac16a","Pro_org","0","0",23.6666666666667,43.3333333333333,19.6666666666667,0.2,"1",19.6666666666667,1
86,73,76,74,72,90,"0","0","237.625","0",91,89,88,85,83,94,2,1,52,"Bachelor's degree in college (4-year)","Yes","White",NA,"Slightly Liberal",NA,2,"6525befce3ed4df85847d34a","Pro_none","0","1",78.5,88.3333333333333,9.83333333333333,0.2,"1",9.83333333333333,1
30,20,11,30,-5,-20,"0","0","413.629","0",25,25,11,-15,-35,-20,3,0,38,"High school graduate (high school diploma or equivalent including GED)","No","White",NA,"Slightly Liberal","THANK YOU :)",2,"5a73899f9cdd1800017786f0","Anti_org","0","0",11,-1.5,-12.5,0.2,"0",12.5,1
59,36,56,-44,-70,-65,"20.565","27.495","255.669","2",59,36,56,-41,21,28,4,1,35,"Bachelor's degree in college (4-year)","Yes","Black or African American",NA,"Conservative","n/a",1,"67876e92ebfb5ba627248892","Anti_label","1","1",-4.66666666666667,26.5,31.1666666666667,0.1,"0",-31.1666666666667,1
18,-42,20,-36,-33,-35,"183.518","183.518","246.92","1",36,43,29,35,43,53,2,0,29,"High school graduate (high school diploma or equivalent including GED)","Yes","White",NA,"Conservative",NA,0,"63d3fa55356059073379496e","Anti_none","0","1",-18,39.8333333333333,57.8333333333333,0,"0",-57.8333333333333,0
100,100,100,50,100,100,"0","0","235.312","0",100,100,100,100,100,100,1,1,32,"Bachelor's degree in college (4-year)","Yes","White",NA,"Liberal",NA,2,"60b8555a8b8253295be46dc6","Anti_none","0","1",91.6666666666667,100,8.33333333333333,0.2,"0",-8.33333333333333,0
100,62,90,34,-69,-49,"190.104","190.104","255.395","1",78,-66,59,7,-6,20,2,0,28,"Some college but no degree","Yes","White",NA,"Slightly Liberal",NA,3,"671271eb939122be7406974e","Pro_org","0","0",28,15.3333333333333,-12.6666666666667,0.3,"1",-12.6666666666667,1
53,66,10,-30,-20,-25,"3.563","233.036","234.104","6",27,40,10,-41,-26,-40,3,1,30,"Less than high school degree","No","White",NA,"Conservative",NA,2,"663e7e85449ebc055cb547f1","Anti_label","1","1",9,-5,-14,0.2,"0",14,1
47,39,29,32,14,-15,"0","0","233.329","0",47,39,29,32,14,-15,4,0,39,"Bachelor's degree in college (4-year)","No","White",NA,"Liberal",NA,1,"5b915c9d22d85d000115c0f5","Pro_none","0","1",24.3333333333333,24.3333333333333,0,0.1,"1",0,0
100,17,-57,-30,37,-59,"9.318","274.899","276.371","33",100,17,37,-30,37,-100,4,0,22,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Slightly Liberal",NA,3,"678b9a37d431a331d3f510ee","Pro_org","0","0",1.33333333333333,10.1666666666667,8.83333333333333,0.3,"1",8.83333333333333,0
-60,66,70,-71,-73,-72,"0","0","272.405","0",100,100,53,17,-100,-96,5,0,22,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Extremely Conservative",NA,2,"671f51ae72e93193d90cf69d","Pro_none","0","1",-23.3333333333333,12.3333333333333,35.6666666666667,0.2,"1",35.6666666666667,1
61,73,47,-34,30,-36,"0","0","314.055","0",72,84,54,-50,50,-29,3,1,35,"Bachelor's degree in college (4-year)","No","White",NA,"Slightly Liberal",NA,3,"65b2937c459729780361bfff","Pro_org","0","0",23.5,30.1666666666667,6.66666666666667,0.3,"1",6.66666666666667,0
75,-59,28,36,-53,54,"0","0","290.325","0",61,-60,-48,62,-67,-39,4,0,34,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Liberal",NA,1,"67856aab19bad167dbefe5d3","Anti_org","0","0",13.5,-15.1666666666667,-28.6666666666667,0.1,"0",28.6666666666667,0
39,52,41,-65,-52,-50,"0","0","246.942","0",6,-19,-74,65,-75,-43,4,0,54,"Master's degree","No","Black or African American",NA,"Conservative","none",1,"677d325e7fbf9a78c4bfc99e","Anti_none","0","1",-5.83333333333333,-23.3333333333333,-17.5,0.1,"0",17.5,1
-1,-20,20,49,28,22,"101.073","103.03","461.82","6",34,12,32,21,28,22,3,0,26,"Associate degree in college (2-year)","No","White",NA,"Slightly Liberal",NA,2,"6745d5503608b40265ce5ea3","Pro_none","0","1",16.3333333333333,24.8333333333333,8.5,0.2,"1",8.5,0
-21,-15,-20,-32,-51,-46,"0","0","236.684","0",-5,-3,-15,-40,-43,-55,2,1,31,"Bachelor's degree in college (4-year)","No","Asian",NA,"Slightly Liberal",NA,2,"663afe516057a41045974ee8","Pro_none","0","1",-30.8333333333333,-26.8333333333333,4,0.2,"1",4,1
26,-12,-24,33,-8,-22,"250.088","250.088","252.97","1",74,50,0,-10,25,0,4,1,46,"Some college but no degree","Yes","White",NA,"Conservative",NA,2,"6734e9f8951399dc7d4d3ba7","Pro_label","1","1",-1.16666666666667,23.1666666666667,24.3333333333333,0.2,"1",24.3333333333333,0
100,66,23,8,24,15,"10.378","179.404","234.902","3",100,66,23,8,24,15,4,0,31,"Master's degree","No","White",NA,"Moderate, Middle of Road",NA,3,"67722aa65639cba87301c81c","Anti_none","0","1",39.3333333333333,39.3333333333333,0,0.3,"0",0,1
67,78,63,-1,-51,48,"0","0","247.359","0",67,78,63,-1,-51,48,3,1,32,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Conservative",NA,2,"677bdfd86ed4534feab7ab26","Anti_label","1","1",34,34,0,0.2,"0",0,1
100,100,100,64,-90,83,"15.668","262.282","263.592","2",100,100,100,95,100,100,3,1,25,"Bachelor's degree in college (4-year)","No","White",NA,"Extremely Liberal",NA,2,"6111b4cba2e8a20234ec6cd6","Pro_none","0","1",59.5,99.1666666666667,39.6666666666667,0.2,"1",39.6666666666667,0
37,36,23,-21,11,11,"0","0","261.982","0",12,36,23,-21,11,-15,3,0,27,"Some college but no degree","No","White",NA,"Extremely Conservative",NA,0,"677d9832cf3ff620ad5687c0","Anti_org","0","0",16.1666666666667,7.66666666666667,-8.5,0,"0",8.5,0
25,50,25,25,25,25,"2.969","2.969","234.646","1",25,50,25,25,25,25,1,1,51,"Bachelor's degree in college (4-year)","No","White",NA,"Conservative",NA,2,"57c725d89a5f4f0001f661bd","Anti_none","0","1",29.1666666666667,29.1666666666667,0,0.2,"0",0,1
80,100,100,49,90,52,"0","0","260.554","0",100,100,100,70,90,65,5,0,37,"High school graduate (high school diploma or equivalent including GED)","No","White",NA,"Slightly Conservative",NA,3,"611e50becd70dcd442923506","Pro_org","0","0",78.5,87.5,9,0.3,"1",9,1
61,-37,48,-37,29,-38,"0","0","274.501","0",50,18,35,-22,41,-24,4,0,28,"Bachelor's degree in college (4-year)","No","White",NA,"Moderate, Middle of Road","the study was great",2,"6780345314a2542ae916993c","Pro_org","0","0",4.33333333333333,16.3333333333333,12,0.2,"1",12,1
52,34,45,56,10,58,"11.314","11.314","241.96","1",54,57,55,56,17,64,1,1,56,"Bachelor's degree in college (4-year)","No","White,American Indian or Alaska Native",NA,"Liberal",NA,3,"577d4c7a454e5400015f16c9","Pro_none","0","1",42.5,50.5,8,0.3,"1",8,0
99,35,95,-48,-57,47,"0","0","469.187","0",63,66,70,41,-57,47,5,0,21,"Some college but no degree","No","Black or African American",NA,"Liberal",NA,3,"67502a3492b06e0e6e5ac9b0","Pro_label","1","1",28.5,38.3333333333333,9.83333333333334,0.3,"1",9.83333333333334,0
44,31,27,-41,-33,-36,"0","0","315.096","0",57,56,54,-57,-33,-52,4,0,61,"Bachelor's degree in college (4-year)","No","White",NA,"Extremely Conservative","none",2,"671af8fcb04d24581e78d356","Pro_label","1","1",-1.33333333333333,4.16666666666667,5.5,0.2,"1",5.5,0
75,75,65,25,16,-2,"0","0","238.664","0",65,63,-72,-66,-74,-75,3,1,60,"Bachelor's degree in college (4-year)","No","White",NA,"Slightly Conservative","n/a",2,"664dfaa604e322a13a54c74f","Anti_label","1","1",42.3333333333333,-26.5,-68.8333333333333,0.2,"0",68.8333333333333,0
28,41,100,-18,26,17,"127.339","127.339","281.081","1",-40,-13,-43,36,-48,-67,2,0,19,"Some college but no degree","No","Asian",NA,"Slightly Conservative",NA,1,"6786a72b18c43cf6d5a8c373","Anti_org","0","0",32.3333333333333,-29.1666666666667,-61.5,0.1,"0",61.5,0
57,37,-40,53,-31,44,"13.746","93.494","301.597","4",39,49,45,-27,-42,-35,4,1,35,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Conservative","n/a",2,"678848fea7aaa984e02b5bf4","Anti_label","1","1",20,4.83333333333333,-15.1666666666667,0.2,"0",15.1666666666667,1
0,50,50,-75,-75,0,"0","0","291.496","0",70,50,50,-70,-75,0,3,1,59,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Liberal",NA,1,"655d85aedb65f44ed78ce3a5","Anti_org","0","0",-8.33333333333333,4.16666666666667,12.5,0.1,"0",-12.5,0
79,70,0,-30,-74,-10,"283.587","283.587","286.116","1",0,50,-71,-30,-74,-60,4,1,38,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Extremely Liberal",NA,2,"640c3e718d10af5614ee82ee","Anti_org","0","0",5.83333333333333,-30.8333333333333,-36.6666666666667,0.2,"0",36.6666666666667,1
100,50,50,-70,-100,-100,"0","0","634.949","0",-100,-50,19,-100,-100,-100,4,1,21,"Bachelor's degree in college (4-year)","No","Black or African American",NA,"Moderate, Middle of Road",NA,2,"673f230523c22790772ab998","Anti_label","1","1",-11.6666666666667,-71.8333333333333,-60.1666666666667,0.2,"0",60.1666666666667,0
0,-25,0,15,20,-25,"0","0","294.098","0",5,0,5,-5,-10,-25,2,1,29,"Some college but no degree","No","White",NA,"Slightly Conservative",NA,2,"63174f52c207f299e8f8dc08","Pro_none","0","1",-2.5,-5,-2.5,0.2,"1",-2.5,1
93,85,85,-82,-93,-75,"0","0","306.164","0",100,100,100,-98,39,-75,4,0,25,"Bachelor's degree in college (4-year)","No","White",NA,"Conservative",NA,3,"6771633e49c5b9adc2d0cf8f","Pro_org","0","0",2.16666666666667,27.6666666666667,25.5,0.3,"1",25.5,1
80,90,90,45,88,61,"0","0","293.881","0",100,100,100,100,100,100,5,1,39,"High school graduate (high school diploma or equivalent including GED)","Yes","American Indian or Alaska Native,Other:","Mexican","Liberal",NA,3,"663170bb631c1b3b21b7828b","Pro_org","0","0",75.6666666666667,100,24.3333333333333,0.3,"1",24.3333333333333,0
100,100,100,100,0,0,"0","0","262.799","0",100,100,100,100,0,0,4,1,58,"Associate degree in college (2-year)","No","White,Black or African American,American Indian or Alaska Native",NA,"Moderate, Middle of Road",NA,2,"62794a276fc2c539bfea92e3","Pro_label","1","1",66.6666666666667,66.6666666666667,0,0.2,"1",0,0
71,20,11,76,-47,47,"0","0","253.749","0",71,54,22,76,-27,47,3,0,24,"Associate degree in college (2-year)","No","White",NA,"Liberal",NA,3,"663a750c7d44cec8e04dc871","Pro_org","0","0",29.6666666666667,40.5,10.8333333333333,0.3,"1",10.8333333333333,0
100,81,76,-27,-60,-22,"0","0","244.376","0",100,81,76,-27,-60,-22,3,1,22,"Bachelor's degree in college (4-year)","No","White",NA,"Slightly Liberal",NA,3,"67884b69eccd9d65d8fcf3fa","Pro_label","1","1",24.6666666666667,24.6666666666667,0,0.3,"1",0,0
22,21,72,-51,28,9,"0","0","236.929","0",60,79,68,6,26,9,4,1,26,"Associate degree in college (2-year)","Yes","White",NA,"Slightly Liberal",NA,1,"6119b49f27559993be13f40b","Pro_none","0","1",16.8333333333333,41.3333333333333,24.5,0.1,"1",24.5,0
21,41,14,-33,-62,-37,"0","0","290.147","0",52,-13,14,-37,-62,-37,4,0,32,"Associate degree in college (2-year)","No","White",NA,"Conservative",NA,1,"6039108d9e009731c3b8a452","Anti_org","0","0",-9.33333333333333,-13.8333333333333,-4.5,0.1,"0",4.5,1
22,62,64,-23,-27,0,"115.002","115.002","284.673","1",-26,-38,-20,-52,-59,-46,4,0,67,"Some college but no degree","No","Asian",NA,"Slightly Conservative",NA,2,"672eda41e28ba46f845249df","Anti_org","0","0",16.3333333333333,-40.1666666666667,-56.5,0.2,"0",56.5,0
